20/06/2015,23/07/2015,25
21/05/2015,19/06/2015,39
23/04/2015,21/05/2015,70
24/03/2015,22/04/2015,124
21/02/2015,23/03/2015,314
22/01/2015,20/02/2015,328
20/12/2014,21/01/2015,348
21/11/2014,19/12/2014,200
23/10/2014,20/11/2014,142
23/09/2014,22/10/2014,44
23/08/2014,22/09/2014,24
24/07/2014,22/08/2014,32
21/06/2014,23/07/2014,17
23/05/2014,20/06/2014,33
23/04/2014,22/05/2014,90
22/03/2014,22/04/2014,134
21/02/2014,21/03/2014,286
22/01/2014,20/02/2014,297
20/12/2013,21/01/2014,335
21/11/2013,19/12/2013,205
24/10/2013,20/11/2013,87
24/09/2013,23/10/2013,61
23/08/2013,23/09/2013,31
23/07/2013,22/08/2013,33
