20/05/2015,19/07/2015,1340
18/03/2015,19/05/2015,973
21/01/2015,17/03/2015,1354
20/11/2014,20/01/2015,1499
20/09/2014,19/11/2014,1509
20/07/2014,19/09/2014,2166
20/05/2014,19/07/2014,2198
19/03/2014,19/05/2014,1545
20/01/2014,18/03/2014,1568
20/11/2013,19/01/2014,1643
19/09/2013,19/11/2013,1698
18/07/2013,18/09/2013,2559
20/05/2013,17/07/2013,1802
19/03/2013,19/05/2013,1206
21/01/2013,18/03/2013,1206
19/11/2012,20/01/2013,1361
20/09/2012,18/11/2012,1216
19/07/2012,19/09/2012,1563
17/05/2012,18/07/2012,1574
19/03/2012,16/05/2012,970
19/01/2012,18/03/2012,1025
17/11/2011,18/01/2012,1033
01/10/2011,16/11/2011,720
